y true,y pred
8.011519999999999,8.796734
6.48323,6.6346855
12.66875,14.29171
14.77347,10.265181
27.29168,17.542744
6.991319999999999,9.770449
10.58547,11.138634
-2.43325,6.959832
10.58547,12.076403
10.068,7.6463532
8.52363,12.726315
3.96288,6.677362
8.011519999999999,7.7820725
10.58547,6.4071646
14.24528,11.401036
13.19292,15.630244
26.175,25.960743
36.41808,36.668922
6.991319999999999,5.1046534
7.50075,9.3310795
18.50832,19.610949
35.83763,28.87525
7.50075,4.66298
13.19292,11.328573
15.83387,20.129383
24.51003,19.137384
30.67388,39.804646
45.88751999999999,46.97134
27.85203,27.116276
25.61867,18.218813
28.41372,25.13426
22.30883,26.596003
21.76188,20.14635
0.98268,5.2710433
8.011519999999999,10.623136
11.62443,15.911822
40.51875,35.525814
33.52923,50.1679
-0.48933,4.216919
10.58547,8.1712055
32.95548,21.641508
48.91707,40.21061
2.46675,3.9591465
6.991319999999999,10.421631
28.41372,22.178759
15.83387,19.246319
54.45468,53.692497
71.71875,63.20567
20.12907,26.481873
19.04723,20.63621
33.52923,33.343407
37.583,35.675823
32.95548,23.111767
-2.91588,0.88142765
0.49067,3.695247
5.47107,6.9117723
25.61867,21.836605
28.97675,39.90437
1.47603,1.3490777
0.49067,3.4863896
10.068,12.875865
31.812,28.953327
0.98268,1.823981
4.967000000000001,5.931545
19.04723,15.623723
4.46427,9.989013
26.175,41.962177
117.287,62.27536
20.12907,24.155926
6.991319999999999,8.375875
14.24528,17.493073
17.97075,20.312952
12.66875,10.750472
94.84827,87.15503
194.07075,205.52988
87.19568,76.0515
39.34043,37.94303
10.068,10.725613
14.77347,20.126106
-1.46397,1.836531
0.49067,2.3432293
5.47107,2.602602
4.967000000000001,5.0612354
4.46427,7.247252
7.50075,8.139917
11.62443,10.12092
14.77347,12.365435
9.03708,17.330236
0.0,1.2310898
0.98268,2.1488607
2.96412,3.938455
12.14592,6.5166345
13.19292,8.975412
11.10428,11.182325
15.83387,13.465057
1.97072,1.6907612
0.98268,1.9906204
4.967000000000001,4.6720123
4.967000000000001,7.041159
11.10428,8.848694
4.46427,7.3064103
11.62443,16.366055
17.43452,11.436941
27.85203,20.245499
13.19292,10.8213415
12.66875,12.428931
1.97072,7.4530993
19.58748,12.488941
9.55187,7.9162416
12.66875,12.984484
3.46283,6.949179
3.96288,8.033349
-0.97732,-1.0382321
-2.43325,0.010529518
-1.46397,1.3119246
6.991319999999999,6.189021
6.48323,13.438627
-1.94928,-0.447084
-2.43325,0.102786876
8.52363,3.4670224
8.011519999999999,8.499375
2.96412,0.24207917
-1.46397,1.5699091
2.46675,4.797078
0.49067,3.2551703
5.97648,11.150961
16.36608,16.930746
12.14592,10.225774
0.0,5.7169256
13.71843,11.895114
11.10428,13.8035755
9.03708,7.990513
95.552,100.63208
165.6140075,154.29514
161.290671875,165.12552
32.0,30.238537
58.0,61.521767
88.0,81.62455
78.0,33.062176
50.77777777777778,34.61855
64.77777777777777,60.049477
48.77777777777778,55.515472
95.77777777777776,78.653824
2.222222222222222,6.842814
8.38888888888889,9.865146
9.088888888888889,14.325711
10.70555555555556,15.190542
12.68888888888889,16.059574
7.522222222222221,19.062893
15.24444444444445,20.120249
14.67777777777778,11.491327
11.11111111111111,12.612127
10.0,16.310497
43.88888888888889,27.597294
72.83333333333334,71.33484
75.77777777777777,67.37774
13.88888888888889,-2.6575575
-17.22222222222222,-2.970496
23.66666666666667,15.502083
25.73888888888889,15.502083
2.888888888888889,11.091692
22.27777777777778,18.292727
28.11111111111111,22.156155
42.61111111111111,30.917492
66.77777777777777,76.50335
75.77777777777777,93.92908
102.7777777777778,79.73158
10.0,6.8048644
2.0,16.248745
10.0,22.356731
14.87777777777778,15.769224
14.61111111111111,17.713402
15.09444444444445,19.803984
20.28333333333333,21.192389
23.44444444444444,22.385357
22.22222222222222,34.092724
36.11111111111111,34.092724
59.77777777777778,37.552067
45.77777777777778,45.647804
45.77777777777778,30.33698
4.388888888888889,11.005614
14.66666666666667,27.483313
3.111111111111107,6.5837545
21.05555555555556,9.660673
13.33333333333333,13.020998
-8.777777777777779,6.5837545
16.27777777777778,9.660673
20.61111111111111,13.020998
4.833333333333336,11.7273855
16.0,16.193985
30.11111111111111,20.964268
36.77777777777778,15.904869
19.44444444444444,19.97832
25.66666666666666,24.329182
27.61111111111111,27.123758
0.0,10.071497
11.78,3.5849903
-3.78,3.7650476
-8.88888888888889,-2.869619
-0.5555555555555556,-0.5253228
-10.55555555555556,1.953859
8.627777777777776,12.105753
31.0,44.817513
38.0,26.940893
4.0,9.298817
2.0,6.286933
13.0,8.214636
17.0,6.0115104
19.0,6.150965
3.0,10.003092
23.0,8.950487
-8.0,6.9090395
-6.0,7.8944216
3.0,5.9987164
12.0,6.3863277
3.0,8.001849
13.0,7.1820364
3.0,16.368427
15.0,22.853045
32.0,14.745728
33.0,23.696587
38.0,29.341574
5.0,11.398844
15.0,24.722515
32.0,40.179024
51.0,60.83053
5.0,15.67775
10.0,23.160389
14.0,30.450104
28.5,21.026764
19.7,26.750366
28.5,32.490364
37.0,37.831112
